name,brand,year,cost,discount,color,memory_size_Gb,dual_sim,discounted_goods
Samsung Galaxy A50,Samsung,2019.0,14350,2640,Black,64.0,0.0,0.0
Samsung Galaxy A50,Samsung,2019.0,14990,2000,Blue,64.0,0.0,0.0
Samsung Galaxy A50,Samsung,2019.0,14150,2840,White,64.0,0.0,0.0
Samsung Galaxy A10,Samsung,2019.0,7150,2340,Black,32.0,0.0,0.0
Samsung Galaxy A40,Samsung,2019.0,12950,3040,Black,64.0,0.0,0.0
Samsung Galaxy A10,Samsung,2019.0,7150,2340,Blue,32.0,0.0,0.0
Samsung Galaxy A10,Samsung,2019.0,7150,2340,Red,32.0,0.0,0.0
Xiaomi Redmi Note 8 Pro 6,Xiaomi,,16990,2000,Black,128.0,0.0,0.0
Samsung Galaxy A70,Samsung,2019,20990,5000,White,128.0,0.0,0.0
Xiaomi Redmi Note 8 Pro 6,Xiaomi,,14990,1000,Green,64.0,0.0,0.0
Xiaomi Redmi Note 8 Pro 6,Xiaomi,,16990,2000,Green,128.0,0.0,0.0
Xiaomi Mi 9 Lite 6,Xiaomi,,16350,0,Blue,64.0,0.0,0.0
Samsung Galaxy A70,Samsung,2019,21990,4000,Blue,128.0,0.0,0.0
Xiaomi Mi 9 Lite 6,Xiaomi,,18250,0,White,128.0,0.0,0.0
Xiaomi Redmi Note 8T 4,Xiaomi,,12290,0,Black,64.0,0.0,0.0
Xiaomi Redmi Note 8 4,Xiaomi,,11490,2960,Blue,64.0,0.0,0.0
Xiaomi Redmi Note 8 Pro 6,Xiaomi,,14490,3000,Black,64.0,0.0,0.0
Xiaomi Redmi Note 8T 4,Xiaomi,,12290,0,Blue,64.0,0.0,0.0
Xiaomi Redmi 8 4,Xiaomi,,9590,900,Red,64.0,0.0,0.0
Xiaomi Mi 9 Lite 6,Xiaomi,,18250,0,Blue,128.0,0.0,0.0
Xiaomi Redmi 8 4,Xiaomi,,9590,900,Blue,64.0,0.0,0.0
Huawei Honor 9X 4,Huawei,,13290,1700,Blue,128.0,0.0,0.0
Xiaomi Redmi Note 8 Pro 6,Xiaomi,,15990,0,Blue,128.0,0.0,0.0
Philips Xenium E580,Philips,,4155,0,Black,,0.0,0.0
Xiaomi Redmi Note 8 4,Xiaomi,,11490,2960,Black,64,0.0,0.0
Xiaomi Redmi Note 8T 4,Xiaomi,,11990,0,White,64,0.0,0.0
Xiaomi Mi 9 Lite 6,Xiaomi,,16490,0,Grey,64,0.0,0.0
Xiaomi Mi9T 6,Xiaomi,,18990,4500,Blue,128,0.0,0.0
Xiaomi Redmi Note 8 4,Xiaomi,,11490,2960,White,64,0.0,0.0
Xiaomi Redmi Note 8 Pro 6,Xiaomi,,14750,1240,White,64,0.0,0.0
Xiaomi Redmi Note 8 Pro 6,Xiaomi,,14990,1000,Blue,64,0.0,0.0
Xiaomi Redmi Note 7 4,Xiaomi,,12490,2500,Blue,128,0.0,0.0
Xiaomi Redmi Note 8 Pro 6,Xiaomi,,16990,2000,White,128,0.0,0.0
Xiaomi Mi 9 Lite 6,Xiaomi,,16490,0,White,64,0.0,0.0
Xiaomi Mi9T 6,Xiaomi,,18990,4500,Black,128,0.0,0.0
Xiaomi Redmi 7A 2,Xiaomi,,6190,800,Blue,32,0.0,0.0
Xiaomi Redmi 7A 2,Xiaomi,,5890,700,Black,16,0.0,0.0
Xiaomi Redmi 7A 2,Xiaomi,,6390,600,Black,32,0.0,0.0
Samsung Galaxy A30S,Samsung,,11150,2840,White,32,0.0,0.0
Xiaomi Mi9T Pro 6,Xiaomi,,24990,3000,Black,128,0.0,0.0
Samsung Galaxy A51,Samsung,,16790,0,Prism Crush Black,64,0.0,0.0
Xiaomi Mi A3 4,Xiaomi,,11490,2500,White,64,0.0,0.0
Xiaomi Mi9T 6,Xiaomi,,18990,4500,Red,128,0.0,0.0
Samsung Galaxy A51,Samsung,,19650,0,White,128,0.0,0.0
Xiaomi Redmi Note 8T 4,Xiaomi,,13290,0,Grey,128,0.0,0.0
Xiaomi Redmi 8A 2,Xiaomi,,7290,1700,Black,32,0.0,0.0
Xiaomi Mi9T Pro 6,Xiaomi,,25490,2500,Blue,128,0.0,0.0
Samsung Galaxy A51,Samsung,,19450,0,Prism Crush Black,128,0.0,0.0
Samsung Galaxy A40,Samsung,2019,13990,0,White,64,0.0,0.0
Samsung Galaxy A30S,Samsung,,11250,2740,Purple,32,0.0,0.0
Xiaomi Redmi Note 7 Pro 6,Xiaomi,,11990,3800,Black,128,0.0,0.0
Samsung Galaxy A51,Samsung,,16790,0,White,64,0.0,0.0
Xiaomi Mi A3 4,Xiaomi,,12790,2200,Grey,128,0.0,0.0
Samsung Galaxy A30S,Samsung,,11250,2740,Black,32,0.0,0.0
Philips S561,Philips,,6650,0,Black,,0.0,0.0
Xiaomi Redmi 8A 2,Xiaomi,,7290,1700,Blue,32,0.0,0.0
Xiaomi Mi A3 4,Xiaomi,,11490,2500,Grey,64,0.0,0.0
Xiaomi Redmi Note 8T 3,Xiaomi,,10490,0,Grey,32,0.0,0.0
Xiaomi Redmi 8 3,Xiaomi,,8650,1140,Blue,32,0.0,0.0
Xiaomi Redmi 8A 2,Xiaomi,,7290,1700,Red,32,0.0,0.0
Xiaomi Redmi Note 8 3,Xiaomi,,10290,0,White,32,0.0,0.0
Xiaomi Redmi 7A 2,Xiaomi,,5750,840,Blue,16,0.0,0.0
Huawei Nova 5T 6,Huawei,,19990,5000,Blue,128,0.0,0.0
Samsung Galaxy A50S 6,Samsung,,18490,0,White,128,0.0,0.0
Xiaomi Redmi Note 8 4,Xiaomi,,12590,2900,White,128,0.0,0.0
OnePlus 7T Pro 8,OnePlus,,45990,9000,Nebula Blue,256,0.0,0.0
Xiaomi Redmi 8 3,Xiaomi,,8650,1140,Black,32,0.0,0.0
Xiaomi Redmi Note 7 Pro 6,Xiaomi,,12490,3300,Blue,128,0.0,0.0
Xiaomi Redmi Note 8T 3,Xiaomi,,10490,0,Blue,32,0.0,0.0
Huawei Nova 5T 6,Huawei,,19990,5000,Purple,128,0.0,0.0
Xiaomi Redmi Note 8T 3,Xiaomi,,10490,0,White,32,0.0,0.0
Xiaomi Mi9T 6,Xiaomi,,18490,4500,Black,64,0.0,0.0
Xiaomi Mi Max 3 4,Xiaomi,,11290,1500,Black,64,0.0,0.0
Xiaomi Redmi Note 8 3,Xiaomi,,10290,2300,Blue,32,0.0,0.0
Samsung Galaxy A20S,Samsung,,10490,2500,Red,32,0.0,0.0
Samsung Galaxy A30S,Samsung,,12990,2000,Black,64,0.0,0.0
Samsung Galaxy J2 SM-J250,Samsung,2018,5750,3240,Black,,0.0,0.0
Xiaomi Mi A3 4,Xiaomi,,12790,2200,Blue,128,0.0,0.0
Xiaomi Redmi Note 8 4,Xiaomi,,12490,2400,Black,128,0.0,0.0
Xiaomi Mi9T 6,Xiaomi,,18490,4500,Blue,64,0.0,0.0
Samsung Galaxy A50S 6,Samsung,,18490,0,Black,128,0.0,0.0
Huawei Honor 9X 4,Huawei,,13490,1500,Black,128,0.0,0.0
Xiaomi Redmi Note 8 3,Xiaomi,,9990,2600,Black,32,0.0,0.0
Xiaomi Mi9T 6,Xiaomi,,18490,4500,Red,64,0.0,0.0
Xiaomi Mi Note 10 6,Xiaomi,,29990,0,Black,128,0.0,0.0
Xiaomi Pocophone F1 6,Xiaomi,,17250,0,Blue,128,0.0,0.0
OnePlus 7T 8,OnePlus,,37990,1500,Nebula Blue,256,0.0,0.0
Huawei Honor 8A,Huawei,,6850,2140,Black,,0.0,0.0
Samsung Galaxy A20S,Samsung,,9990,3000,Black,32,0.0,0.0
Huawei Honor 8A,Huawei,,6850,2140,Gold,,0.0,0.0
Samsung Galaxy A20S,Samsung,,9990,3000,Blue,32,0.0,0.0
Meizu Note 9 4,Meizu,,12550,3440,Blue,128,0.0,0.0
Huawei Honor 8S,Huawei,,6050,1940,Black,32,0.0,0.0
Huawei Honor 8A,Huawei,,6850,2140,Blue,,0.0,0.0
Xiaomi Mi9T Pro 6,Xiaomi,,25990,2000,Red,128,0.0,0.0
Huawei Honor 9X Premium 6,Huawei,,14990,2000,Black,128,0.0,0.0
Xiaomi Redmi 7 3,Xiaomi,,8150,1840,Blue,32,0.0,0.0
OnePlus 7T 8,OnePlus,,37990,2000,Silver,256,0.0,0.0
Xiaomi Redmi Note 7 Pro 6,Xiaomi,,11990,3800,Pink,128,0.0,0.0
Xiaomi Redmi 6 4,Xiaomi,,7790,0,Black,64,0.0,0.0
Xiaomi Redmi Note 7 Pro 6,Xiaomi,,11790,0,White,128,0.0,0.0
Philips Xenium E255,Philips,,2855,0,Blue,,0.0,0.0
Meizu C9,Meizu,,4990,0,Black,,0.0,0.0
Huawei Honor 20 6,Huawei,,20490,5500,Blue,128,0.0,0.0
Philips Xenium E182,Philips,,2965,0,Blue,,0.0,0.0
Meizu Note 9 4,Meizu,,11950,0,Blue,64,0.0,0.0
Huawei Honor 8S,Huawei,,6050,1940,Blue,32,0.0,0.0
Xiaomi Redmi 8 3,Xiaomi,,8490,1300,Red,32,0.0,0.0
Samsung Galaxy A30S,Samsung,,12750,2240,Purple,64,0.0,0.0
Samsung Galaxy J2 Core SM-J260,Samsung,,5055,935,Gold,,0.0,0.0
Alcatel 3X 5048Y DS 4,Alcatel,2019,8250,0,Green,64,0.0,0.0
Samsung Galaxy A40,Samsung,2019,13990,0,Red,64,0.0,0.0
Nokia 2.2 2 16 Gb,Nokia,,5350,0,Black,,0.0,0.0
Huawei Honor 20 6,Huawei,,20490,5500,Black,128,0.0,0.0
Meizu C9 Pro,Meizu,,4990,0,Gold,,0.0,0.0
Xiaomi Mi Note 10 6,Xiaomi,,28450,0,White,128,0.0,0.0
Nokia 6.2 3,Nokia,,11390,0,Ice,32,0.0,0.0
Xiaomi Mi A3 4,Xiaomi,,11490,2500,Blue,64,0.0,0.0
Xiaomi Mi Max 3 4,Xiaomi,,10590,2200,Gold,64,0.0,0.0
OnePlus 7T 8,OnePlus,,34990,2000,Nebula Blue,128,0.0,0.0
Nokia 2.2 2 16 Gb,Nokia,,5350,0,Silver,,0.0,0.0
Huawei Honor 10i,Huawei,,11790,2200,Blue,128,0.0,0.0
Huawei Honor 10 Lite 3,Huawei,,9790,2200,Sapphire Blue,64,0.0,0.0
Meizu 15 Lite 4,Meizu,,8650,0,Red,64,0.0,0.0
Huawei Honor 7A,Huawei,,5250,1240,Blue,,0.0,0.0
Xiaomi Mi A3 4,Xiaomi,,12790,2200,White,128,0.0,0.0
Samsung Galaxy J2 Core SM-J260,Samsung,,5055,935,Black,,0.0,0.0
Philips Xenium E109,Philips,,975,0,Black,,0.0,0.0
Xiaomi Mi Note 10 6,Xiaomi,,28450,0,Green,128,0.0,0.0
Alcatel 3X 5048Y DS 4,Alcatel,2019,8250,0,Black,64,0.0,0.0
Huawei Honor 20 Pro 8,Huawei,,27490,7500,Coral White,256,0.0,0.0
Huawei Honor 7A,Huawei,,5250,1240,Black,,0.0,0.0
Vertex S108,Vertex,,1645,0,Black,,0.0,0.0
Huawei Honor 20S 6,Huawei,,15290,2700,Blue,128,0.0,0.0
Huawei P smart Z 4,Huawei,,11890,1100,Green,64,0.0,0.0
Xiaomi Redmi 6 4,Xiaomi,,7790,0,Blue,64,0.0,0.0
Meizu 16 Xs 6,Meizu,,15790,2200,Blue,64,0.0,0.0
Google Pixel 3a,Google,,25490,9500,White,64,0.0,0.0
Meizu Note 8 4,Meizu,,8450,3540,Black,64,0.0,0.0
Philips Xenium E255,Philips,,2855,0,Black,,0.0,0.0
Itel it5606 City,Itel,,699,0,Blue,,0.0,0.0
Nokia 6.2 3,Nokia,,11450,0,Black,32,0.0,0.0
Apple iPhone 7,Apple,,24490,0,Black,32,0.0,0.0
Meizu 16X 6,Meizu,,13490,6500,Midnight Black,64,0.0,0.0
Huawei Honor 20S 6,Huawei,,15290,2700,Black,128,0.0,0.0
Realme 5 Pro 4,Realme,,12750,0,Blue,128,0.0,0.0
Philips Xenium E169,Philips,,1599,0,Dark Grey,,0.0,0.0
Meizu Note 9 4,Meizu,,11950,1640,Black,64,0.0,0.0
Huawei P30 lite,Huawei,,14290,1700,Blue,,0.0,0.0
Xiaomi Redmi Note 7 3,Xiaomi,,10290,0,Blue,32,0.0,0.0
Huawei Honor 10i,Huawei,,11790,2200,Red,128,0.0,0.0
Samsung Galaxy A30S,Samsung,,12750,2240,White,64,0.0,0.0
Meizu C9 Pro,Meizu,,5290,0,Black,,0.0,0.0
Xiaomi Mi Note 10 Pro 8,Xiaomi,,35490,0,Black,256,0.0,0.0
Realme 5 Pro 4,Realme,,12750,0,Green,128,0.0,0.0
Huawei Honor 8S,Huawei,,6050,1940,Gold,32,0.0,0.0
Xiaomi Redmi Note 7 3,Xiaomi,,10390,0,Black,32,0.0,0.0
Vertex C311,Vertex,,1465,0,Blue,,0.0,0.0
Huawei Honor 10 Lite 3,Huawei,,9790,2200,Midnight Black,64,0.0,0.0
Apple iPhone 7,Apple,,24490,0,Rose Gold,32,0.0,0.0
Meizu 16 Xs 6,Meizu,,15790,2200,White,64,0.0,0.0
Caterpillar S61,Caterpillar,,46490,0,Black,,0.0,0.0
Huawei Honor 8A Pro,Huawei,,9690,1300,Blue,,0.0,0.0
Meizu 16 Xs 6,Meizu,,15790,2200,Black,64,0.0,0.0
Huawei Honor 20 Pro 8,Huawei,,27490,7500,Phantom Black,256,0.0,0.0
Alcatel 1S 5024D Metallic,Alcatel,2019,5325,0,Gold,,0.0,0.0
Huawei Y6,Huawei,2019,6990,1000,Brown,,0.0,0.0
Philips Xenium E109,Philips,,975,0,Red,,0.0,0.0
Xiaomi Redmi 7 3,Xiaomi,,9490,1500,Red,64,0.0,0.0
